Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,0385486804,9780385486804,4,3.99,Anchor Books,Paperback,207,1997,1996,,5/21/2021,,,read,,,,1,,,0,,,,,
77767,"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,"Wilder, Laura Ingalls",Garth Williams,,,5,4.19,HarperTrophy,Paperback,335,1994,1935,,5/21/2021,,,read,,,,1,,,0,,,,,
252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"McCourt, Frank",,0007205236,9780007205233,5,4.12,Harper Perennial,Paperback,452,2005,1996,,5/21/2021,,,read,,,,1,,,0,,,,,
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,006112527X,9780061125270,3,4.08,HarperCollins,Hardcover,248,2006,1952,,5/21/2021,,,read,,,,1,,,0,,,,,
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,,,5,4.22,HarperCollins Publishers,Paperback,206,2005,1950,,5/21/2021,,,read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Ivan Minatti, Richard Howard, Nguyễn Thành Vũ",,,4,4.31,"Harcourt, Inc.",Paperback,93,2000,1943,,5/21/2021,,,read,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,,,4,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,5/21/2021,,,read,,,,1,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,,,3,4.28,Harper Perennial Modern Classics ,Paperback,324,2006,1960,,5/21/2021,,,read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Francis Scott Fitzgerald,,,5,3.93,Scribner,Paperback,200,2004,1925,,5/21/2021,,,read,,,,1,,,0,,,,,
378,The Phantom Tollbooth,Norton Juster,"Juster, Norton",Jules Feiffer,0394820371,9780394820378,4,4.16,Random House Bullseye Books,Paperback,248,1996,1961,,5/21/2021,,,read,,,,1,,,0,,,,,
7624,Lord of the Flies,William Golding,"Golding, William",,0140283331,9780140283334,4,3.69,Penguin Books ,Paperback,182,1999,1954,,5/21/2021,,,read,,,,1,,,0,,,,,
38709,"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",,0439244196,9780439244190,4,3.98,Scholastic,Paperback,233,2000,1998,,5/21/2021,,,read,,,,1,,,0,,,,,
57946327,The Last Thing He Told Me,Laura Dave,"Dave, Laura",,1501171348,9781501171345,5,4.13,Simon & Schuster,Hardcover,320,2021,2021,5/21/2021,5/10/2021,,,read,,,,1,,,0,,,,,
54717138,The Nature of Witches,Rachel  Griffin,"Griffin, Rachel",,1728229421,9781728229423,0,4.09,Sourcebooks Fire,Hardcover,362,2021,2021,,5/17/2021,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
28490942,"Wild Irish Witch (Mystic Cove, #6)",Tricia O'Malley,"O'Malley, Tricia",,,,3,4.52,,Kindle Edition,316,2016,2016,5/17/2021,4/29/2021,,,read,,,,1,,,0,,,,,
55004056,The Marvelous Mirza Girls,Sheba Karim,"Karim, Sheba",,0062845489,9780062845481,0,3.7,Quill Tree Books,Hardcover,400,2021,2021,,5/16/2021,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
