Rank,Title,Score
1,The Divan,4.979668229651914
2,Labyrinths: Selected Stories and Other Writings,4.845350984191606
3,Between the World and Me,4.8013657611009934
4,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",4.760167052702172
5,Becoming,4.717748811966482
6,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",4.717410010280992
7,Where the Wild Things Are,4.697710900516705
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.690534343428166
9,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,4.6793871338922575
10,When Breath Becomes Air,4.666393369327454
